#,ResourceGroupID,Id,AvailableCapacity,FreeCapacity,Start,HasFiniteCapacity
68,CGP_IN1,CGP_IN1_Seq_32,0:00:00,00:00:00,2020-05-17 00:00:00,FALSE
69,CGP_IN1,CGP_IN1_Seq_51,0:00:00,00:00:00,2020-08-27 00:00:00,FALSE
70,G_ANOG3T,G_ANOG3T_Seq_47,0:00:00,00:00:00,2020-06-13 00:00:00,FALSE
71,G_NTAD,G_NTAD_Seq_20,23:09:18.720,00:00:00,2020-05-05 00:00:00,TRUE
72,CGP_IN,CGP_IN_Seq_48,0:00:00,00:00:00,2020-06-20 00:00:00,FALSE
73,G_ANOG3T,G_ANOG3T_Seq_21,0:00:00,00:00:00,2020-05-06 00:00:00,FALSE
74,CGP_IN1,CGP_IN1_Seq_23,0:00:00,00:00:00,2020-05-08 00:00:00,FALSE
75,G_ANOG1T,G_ANOG1T_Seq_28,0:00:00,00:00:00,2020-05-13 00:00:00,FALSE
76,CGP_IN1,CGP_IN1_Seq_49,0:00:00,00:00:00,2020-06-27 00:00:00,FALSE
77,CGP_IN2,CGP_IN2_Seq_40,0:00:00,00:00:00,2020-05-25 00:00:00,FALSE
78,G_OTGRG,G_OTGRG_Seq_8,1 day,00:00:00,2020-04-23 00:00:00,FALSE
79,G_ANOG3T,G_ANOG3T_Seq_51,0:00:00,00:00:00,2020-08-27 00:00:00,FALSE
80,CGP_IN2,CGP_IN2_Seq_43,0:00:00,00:00:00,2020-05-28 00:00:00,FALSE
81,G_ANOG3T,G_ANOG3T_Seq_55,0:00:00,00:00:00,2020-12-27 00:00:00,FALSE
82,CGP_IN1,CGP_IN1_Seq_21,0:00:00,00:00:00,2020-05-06 00:00:00,FALSE
83,G_ANOG1T,G_ANOG1T_Seq_4,0:00:00,00:00:00,2020-04-19 00:00:00,FALSE
84,G_ANOG3T,G_ANOG3T_Seq_41,0:00:00,00:00:00,2020-05-26 00:00:00,FALSE
85,CGP_IN1,CGP_IN1_Seq_56,0:00:00,00:00:00,2021-01-27 00:00:00,FALSE
86,G_ANOG3T,G_ANOG3T_Seq_7,0:00:00,00:00:00,2020-04-22 00:00:00,FALSE
87,G_ANOG1T,G_ANOG1T_Seq_40,0:00:00,00:00:00,2020-05-25 00:00:00,FALSE
88,G_RSTD,G_RSTD_Seq_9,20:05:16.800,00:00:00,2020-04-24 00:00:00,FALSE
89,G_ANOG3T,G_ANOG3T_Seq_50,0:00:00,00:00:00,2020-07-27 00:00:00,FALSE
90,CGP_IN,CGP_IN_Seq_26,0:00:00,00:00:00,2020-05-11 00:00:00,FALSE
91,G_NTAD,G_NTAD_Seq_17,23:09:18.720,00:00:00,2020-05-02 00:00:00,TRUE
92,CGP_IN,CGP_IN_Seq_50,0:00:00,00:00:00,2020-07-27 00:00:00,FALSE
93,CGP_IN1,CGP_IN1_Seq_57,0:00:00,00:00:00,2021-02-27 00:00:00,FALSE
94,G_RSTD,G_RSTD_Seq_17,20:05:16.800,00:00:00,2020-05-02 00:00:00,FALSE
95,CGP_IN,CGP_IN_Seq_22,0:00:00,00:00:00,2020-05-07 00:00:00,FALSE
96,G_ATO2,G_ATO2_Seq_4,1 day,00:00:00,2020-04-19 00:00:00,FALSE
97,CGP_IN2,CGP_IN2_Seq_56,0:00:00,00:00:00,2021-01-27 00:00:00,FALSE
98,CGP_IN2,CGP_IN2_Seq_30,0:00:00,00:00:00,2020-05-15 00:00:00,FALSE
99,CGP_IN,CGP_IN_Seq_57,0:00:00,00:00:00,2021-02-27 00:00:00,FALSE
100,CGP_IN1,CGP_IN1_Seq_37,0:00:00,00:00:00,2020-05-22 00:00:00,FALSE
101,G_ANOG3T,G_ANOG3T_Seq_35,0:00:00,00:00:00,2020-05-20 00:00:00,FALSE
102,CGP_IN,CGP_IN_Seq_45,0:00:00,00:00:00,2020-05-30 00:00:00,FALSE
103,G_RSTD,G_RSTD_Seq_8,20:05:16.800,00:00:00,2020-04-23 00:00:00,FALSE
104,G_RSTD,G_RSTD_Seq_25,20:05:16.800,00:00:00,2020-05-10 00:00:00,FALSE
105,G_NTAD,G_NTAD_Seq_1,23:09:18.720,00:00:00,2020-04-16 00:00:00,TRUE
106,G_NTAD,G_NTAD_Seq_9,23:09:18.720,00:00:00,2020-04-24 00:00:00,TRUE
107,G_RSTD,G_RSTD_Seq_2,20:05:16.800,00:00:00,2020-04-17 00:00:00,FALSE
108,CGP_IN,CGP_IN_Seq_35,0:00:00,00:00:00,2020-05-20 00:00:00,FALSE
109,G_RSTD,G_RSTD_Seq_12,20:05:16.800,00:00:00,2020-04-27 00:00:00,FALSE
110,G_TKT,G_TKT_Seq_17,23:43:00.480,00:00:00,2020-05-02 00:00:00,TRUE
111,CGP_IN2,CGP_IN2_Seq_4,0:00:00,00:00:00,2020-04-19 00:00:00,FALSE
112,G_RSTD,G_RSTD_Seq_13,20:05:16.800,00:00:00,2020-04-28 00:00:00,FALSE
113,CGP_IN1,CGP_IN1_Seq_7,0:00:00,00:00:00,2020-04-22 00:00:00,FALSE
114,G_RSTD,G_RSTD_Seq_0,20:05:16.800,00:00:00,2020-04-15 00:00:00,FALSE
115,G_RSTD,G_RSTD_Seq_21,20:05:16.800,00:00:00,2020-05-06 00:00:00,FALSE
116,G_ANOG1T,G_ANOG1T_Seq_46,0:00:00,00:00:00,2020-06-06 00:00:00,FALSE
117,G_ANOG3T,G_ANOG3T_Seq_45,0:00:00,00:00:00,2020-05-30 00:00:00,FALSE
118,G_ANOG1T,G_ANOG1T_Seq_42,0:00:00,00:00:00,2020-05-27 00:00:00,FALSE
119,G_TKT,G_TKT_Seq_21,23:43:00.480,00:00:00,2020-05-06 00:00:00,TRUE
120,G_TKT,G_TKT_Seq_34,23:43:00.480,00:00:00,2020-05-19 00:00:00,TRUE
121,G_TKT,G_TKT_Seq_18,23:43:00.480,00:00:00,2020-05-03 00:00:00,TRUE
122,G_ANOG3T,G_ANOG3T_Seq_42,0:00:00,00:00:00,2020-05-27 00:00:00,FALSE
123,G_RSTD,G_RSTD_Seq_7,20:05:16.800,00:00:00,2020-04-22 00:00:00,FALSE
124,G_ANOG1T,G_ANOG1T_Seq_14,0:00:00,00:00:00,2020-04-29 00:00:00,FALSE
125,G_RSTD,G_RSTD_Seq_32,20:05:16.800,00:00:00,2020-05-17 00:00:00,FALSE
126,G_ANOG1T,G_ANOG1T_Seq_0,0:00:00,00:00:00,2020-04-15 00:00:00,FALSE
127,G_TKT,G_TKT_Seq_23,23:43:00.480,00:00:00,2020-05-08 00:00:00,TRUE
128,G_ANOG3T,G_ANOG3T_Seq_0,0:00:00,00:00:00,2020-04-15 00:00:00,FALSE
129,G_RSTD,G_RSTD_Seq_14,20:05:16.800,00:00:00,2020-04-29 00:00:00,FALSE
130,G_RSTD,G_RSTD_Seq_20,20:05:16.800,00:00:00,2020-05-05 00:00:00,FALSE
131,G_RSTD,G_RSTD_Seq_15,20:05:16.800,00:00:00,2020-04-30 00:00:00,FALSE
132,G_TKT,G_TKT_Seq_22,23:43:00.480,00:00:00,2020-05-07 00:00:00,TRUE
133,G_RTRAIN6,G_RTRAIN6_Seq_36,1 day,00:00:00,2020-05-21 00:00:00,FALSE
134,G_RSTD,G_RSTD_Seq_22,20:05:16.800,00:00:00,2020-05-07 00:00:00,FALSE
135,CGP_IN,CGP_IN_Seq_32,0:00:00,00:00:00,2020-05-17 00:00:00,FALSE
136,G_TKT,G_TKT_Seq_20,23:43:00.480,00:00:00,2020-05-05 00:00:00,TRUE
137,G_RSTD,G_RSTD_Seq_3,20:05:16.800,00:00:00,2020-04-18 00:00:00,FALSE
138,G_TKT,G_TKT_Seq_19,23:43:00.480,00:00:00,2020-05-04 00:00:00,TRUE
139,CGP_IN,CGP_IN_Seq_24,0:00:00,00:00:00,2020-05-09 00:00:00,FALSE
140,G_RSTD,G_RSTD_Seq_6,20:05:16.800,00:00:00,2020-04-21 00:00:00,FALSE
141,G_TKT,G_TKT_Seq_28,23:43:00.480,00:00:00,2020-05-13 00:00:00,TRUE
142,G_ANOG1T,G_ANOG1T_Seq_25,0:00:00,00:00:00,2020-05-10 00:00:00,FALSE
143,G_TKT,G_TKT_Seq_43,23:43:00.480,00:00:00,2020-05-28 00:00:00,TRUE
144,G_ANOG1T,G_ANOG1T_Seq_38,0:00:00,00:00:00,2020-05-23 00:00:00,FALSE
145,G_TKT,G_TKT_Seq_27,23:43:00.480,00:00:00,2020-05-12 00:00:00,TRUE
146,G_TKT,G_TKT_Seq_14,23:43:00.480,00:00:00,2020-04-29 00:00:00,TRUE
147,G_TKT,G_TKT_Seq_33,23:43:00.480,00:00:00,2020-05-18 00:00:00,TRUE
148,G_RSTD,G_RSTD_Seq_11,20:05:16.800,00:00:00,2020-04-26 00:00:00,FALSE
149,G_RSTD,G_RSTD_Seq_4,20:05:16.800,00:00:00,2020-04-19 00:00:00,FALSE
150,G_RSTD,G_RSTD_Seq_18,20:05:16.800,00:00:00,2020-05-03 00:00:00,FALSE
151,G_ANOG3T,G_ANOG3T_Seq_3,0:00:00,00:00:00,2020-04-18 00:00:00,FALSE
152,G_ANOG3T,G_ANOG3T_Seq_54,0:00:00,00:00:00,2020-11-27 00:00:00,FALSE
153,G_RSTD,G_RSTD_Seq_10,20:05:16.800,00:00:00,2020-04-25 00:00:00,FALSE
154,G_OTGRH,G_OTGRH_Seq_19,1 day,00:00:00,2020-05-04 00:00:00,FALSE
155,G_RSTD,G_RSTD_Seq_1,20:05:16.800,00:00:00,2020-04-16 00:00:00,FALSE
156,CGP_IN1,CGP_IN1_Seq_30,0:00:00,00:00:00,2020-05-15 00:00:00,FALSE
157,G_RSTD,G_RSTD_Seq_5,20:05:16.800,00:00:00,2020-04-20 00:00:00,FALSE
158,CGP_IN1,CGP_IN1_Seq_25,0:00:00,00:00:00,2020-05-10 00:00:00,FALSE
159,G_ATO2,G_ATO2_Seq_11,1 day,00:00:00,2020-04-26 00:00:00,FALSE
160,CGP_IN2,CGP_IN2_Seq_28,0:00:00,00:00:00,2020-05-13 00:00:00,FALSE
161,G_ANOG1T,G_ANOG1T_Seq_19,0:00:00,00:00:00,2020-05-04 00:00:00,FALSE
162,CGP_IN2,CGP_IN2_Seq_26,0:00:00,00:00:00,2020-05-11 00:00:00,FALSE
163,G_ANOG3T,G_ANOG3T_Seq_25,0:00:00,00:00:00,2020-05-10 00:00:00,FALSE
164,CGP_IN2,CGP_IN2_Seq_54,0:00:00,00:00:00,2020-11-27 00:00:00,FALSE
165,G_ANOG1T,G_ANOG1T_Seq_49,0:00:00,00:00:00,2020-06-27 00:00:00,FALSE
166,CGP_IN1,CGP_IN1_Seq_16,0:00:00,00:00:00,2020-05-01 00:00:00,FALSE
167,G_TRUCK3,G_TRUCK3_Seq_27,1 day,00:00:00,2020-05-12 00:00:00,FALSE
168,G_ARG2T,G_ARG2T_Seq_32,1 day,00:00:00,2020-05-17 00:00:00,FALSE
169,G_ANOG3T,G_ANOG3T_Seq_11,0:00:00,00:00:00,2020-04-26 00:00:00,FALSE
170,G_VAO2,G_VAO2_Seq_8,20:06:00,00:00:00,2020-04-23 00:00:00,FALSE
171,G_NORD,G_NORD_Seq_40,0:00:00,00:00:00,2020-05-25 00:00:00,FALSE
172,CGP_IN1,CGP_IN1_Seq_41,0:00:00,00:00:00,2020-05-26 00:00:00,FALSE
173,G_ANOG1T,G_ANOG1T_Seq_44,0:00:00,00:00:00,2020-05-29 00:00:00,FALSE
174,CGP_IN,CGP_IN_Seq_55,0:00:00,00:00:00,2020-12-27 00:00:00,FALSE
175,G_TRUCK6,G_TRUCK6_Seq_11,1 day,00:00:00,2020-04-26 00:00:00,FALSE
176,G_ANOG1T,G_ANOG1T_Seq_35,0:00:00,00:00:00,2020-05-20 00:00:00,FALSE
177,CGP_IN2,CGP_IN2_Seq_2,0:00:00,00:00:00,2020-04-17 00:00:00,FALSE
178,G_VAO2,G_VAO2_Seq_11,20:06:00,00:00:00,2020-04-26 00:00:00,FALSE
179,G_VAO2,G_VAO2_Seq_6,20:06:00,00:00:00,2020-04-21 00:00:00,FALSE
180,CGP_IN,CGP_IN_Seq_12,0:00:00,00:00:00,2020-04-27 00:00:00,FALSE
181,CGP_IN,CGP_IN_Seq_36,0:00:00,00:00:00,2020-05-21 00:00:00,FALSE
182,G_ANOH,G_ANOH_Seq_11,1 day,00:00:00,2020-04-26 00:00:00,FALSE
183,CGP_IN2,CGP_IN2_Seq_38,0:00:00,00:00:00,2020-05-23 00:00:00,FALSE
184,G_RTRAIN6,G_RTRAIN6_Seq_16,1 day,00:00:00,2020-05-01 00:00:00,FALSE
185,G_TRUCK3,G_TRUCK3_Seq_42,1 day,00:00:00,2020-05-27 00:00:00,FALSE
186,CGP_IN,CGP_IN_Seq_2,0:00:00,00:00:00,2020-04-17 00:00:00,FALSE
187,CGP_IN2,CGP_IN2_Seq_13,0:00:00,00:00:00,2020-04-28 00:00:00,FALSE
188,CGP_IN2,CGP_IN2_Seq_3,0:00:00,00:00:00,2020-04-18 00:00:00,FALSE
189,G_OTGRH,G_OTGRH_Seq_11,1 day,00:00:00,2020-04-26 00:00:00,FALSE
190,CGP_IN2,CGP_IN2_Seq_36,0:00:00,00:00:00,2020-05-21 00:00:00,FALSE
191,CGP_IN,CGP_IN_Seq_30,0:00:00,00:00:00,2020-05-15 00:00:00,FALSE
192,G_ANOG3T,G_ANOG3T_Seq_4,0:00:00,00:00:00,2020-04-19 00:00:00,FALSE
193,G_ANOH,G_ANOH_Seq_15,1 day,00:00:00,2020-04-30 00:00:00,FALSE
194,G_STRS1H,G_STRS1H_Seq_25,1 day,00:00:00,2020-05-10 00:00:00,FALSE
195,G_VAO2,G_VAO2_Seq_13,20:06:00,00:00:00,2020-04-28 00:00:00,FALSE
196,CGP_IN2,CGP_IN2_Seq_49,0:00:00,00:00:00,2020-06-27 00:00:00,FALSE
197,CGP_IN1,CGP_IN1_Seq_2,0:00:00,00:00:00,2020-04-17 00:00:00,FALSE
198,G_TRUCK3,G_TRUCK3_Seq_16,1 day,00:00:00,2020-05-01 00:00:00,FALSE
199,CGP_IN,CGP_IN_Seq_16,0:00:00,00:00:00,2020-05-01 00:00:00,FALSE
200,CGP_IN1,CGP_IN1_Seq_39,0:00:00,00:00:00,2020-05-24 00:00:00,FALSE
201,CGP_IN,CGP_IN_Seq_8,0:00:00,00:00:00,2020-04-23 00:00:00,FALSE
202,G_OTGRG,G_OTGRG_Seq_12,1 day,00:00:00,2020-04-27 00:00:00,FALSE
203,G_TRUCK3,G_TRUCK3_Seq_36,1 day,00:00:00,2020-05-21 00:00:00,FALSE
204,G_ATO2,G_ATO2_Seq_9,1 day,00:00:00,2020-04-24 00:00:00,FALSE
205,CGP_IN,CGP_IN_Seq_10,0:00:00,00:00:00,2020-04-25 00:00:00,FALSE
206,G_AOAD,G_AOAD_Seq_26,1 day,00:00:00,2020-05-11 00:00:00,FALSE
207,G_ANOG1T,G_ANOG1T_Seq_48,0:00:00,00:00:00,2020-06-20 00:00:00,FALSE
208,CGP_IN2,CGP_IN2_Seq_52,0:00:00,00:00:00,2020-09-27 00:00:00,FALSE
209,G_ANOG1T,G_ANOG1T_Seq_51,0:00:00,00:00:00,2020-08-27 00:00:00,FALSE
210,CGP_IN1,CGP_IN1_Seq_46,0:00:00,00:00:00,2020-06-06 00:00:00,FALSE
211,G_ANOG3T,G_ANOG3T_Seq_9,0:00:00,00:00:00,2020-04-24 00:00:00,FALSE
212,CGP_IN,CGP_IN_Seq_43,0:00:00,00:00:00,2020-05-28 00:00:00,FALSE
213,G_ANOG1T,G_ANOG1T_Seq_17,0:00:00,00:00:00,2020-05-02 00:00:00,FALSE
214,CGP_IN1,CGP_IN1_Seq_13,0:00:00,00:00:00,2020-04-28 00:00:00,FALSE
215,CGP_IN2,CGP_IN2_Seq_46,0:00:00,00:00:00,2020-06-06 00:00:00,FALSE
216,G_ANOG1T,G_ANOG1T_Seq_30,0:00:00,00:00:00,2020-05-15 00:00:00,FALSE
217,G_ARG2T,G_ARG2T_Seq_26,1 day,00:00:00,2020-05-11 00:00:00,FALSE
218,CGP_IN2,CGP_IN2_Seq_17,0:00:00,00:00:00,2020-05-02 00:00:00,FALSE
219,CGP_IN,CGP_IN_Seq_5,0:00:00,00:00:00,2020-04-20 00:00:00,FALSE
220,G_ANOG2T,G_ANOG2T_Seq_19,"1 day, 22:54:11.520",00:00:00,2020-05-04 00:00:00,TRUE
221,G_STRS1H,G_STRS1H_Seq_11,1 day,00:00:00,2020-04-26 00:00:00,FALSE
222,CGP_IN,CGP_IN_Seq_6,0:00:00,00:00:00,2020-04-21 00:00:00,FALSE
223,CGP_IN2,CGP_IN2_Seq_55,0:00:00,00:00:00,2020-12-27 00:00:00,FALSE
224,CGP_IN1,CGP_IN1_Seq_3,0:00:00,00:00:00,2020-04-18 00:00:00,FALSE
225,CGP_IN2,CGP_IN2_Seq_7,0:00:00,00:00:00,2020-04-22 00:00:00,FALSE
226,CGP_IN,CGP_IN_Seq_40,0:00:00,00:00:00,2020-05-25 00:00:00,FALSE
227,G_ANOG1T,G_ANOG1T_Seq_20,0:00:00,00:00:00,2020-05-05 00:00:00,FALSE
228,G_ANOG1T,G_ANOG1T_Seq_10,0:00:00,00:00:00,2020-04-25 00:00:00,FALSE
229,CGP_IN,CGP_IN_Seq_3,0:00:00,00:00:00,2020-04-18 00:00:00,FALSE
230,G_STRS1H,G_STRS1H_Seq_5,1 day,00:00:00,2020-04-20 00:00:00,FALSE
231,G_ANOG1T,G_ANOG1T_Seq_39,0:00:00,00:00:00,2020-05-24 00:00:00,FALSE
232,CGP_IN,CGP_IN_Seq_4,0:00:00,00:00:00,2020-04-19 00:00:00,FALSE
233,G_OTGRH,G_OTGRH_Seq_20,1 day,00:00:00,2020-05-05 00:00:00,FALSE
234,CGP_IN2,CGP_IN2_Seq_32,0:00:00,00:00:00,2020-05-17 00:00:00,FALSE
235,G_ARG2T,G_ARG2T_Seq_31,1 day,00:00:00,2020-05-16 00:00:00,FALSE
236,CGP_IN2,CGP_IN2_Seq_11,0:00:00,00:00:00,2020-04-26 00:00:00,FALSE
237,G_RTRAIN6,G_RTRAIN6_Seq_35,1 day,00:00:00,2020-05-20 00:00:00,FALSE
238,G_ANOG3T,G_ANOG3T_Seq_15,0:00:00,00:00:00,2020-04-30 00:00:00,FALSE
239,CGP_IN,CGP_IN_Seq_39,0:00:00,00:00:00,2020-05-24 00:00:00,FALSE
240,CGP_IN1,CGP_IN1_Seq_11,0:00:00,00:00:00,2020-04-26 00:00:00,FALSE
241,G_TRUCK6,G_TRUCK6_Seq_39,1 day,00:00:00,2020-05-24 00:00:00,FALSE
242,G_ANOG3T,G_ANOG3T_Seq_44,0:00:00,00:00:00,2020-05-29 00:00:00,FALSE
243,G_ANOG3T,G_ANOG3T_Seq_57,0:00:00,00:00:00,2021-02-27 00:00:00,FALSE
244,G_ANOG3T,G_ANOG3T_Seq_26,0:00:00,00:00:00,2020-05-11 00:00:00,FALSE
245,G_RTRAIN6,G_RTRAIN6_Seq_23,1 day,00:00:00,2020-05-08 00:00:00,FALSE
246,CGP_IN2,CGP_IN2_Seq_14,0:00:00,00:00:00,2020-04-29 00:00:00,FALSE
247,G_ANOG3T,G_ANOG3T_Seq_28,0:00:00,00:00:00,2020-05-13 00:00:00,FALSE
248,G_ANOG1T,G_ANOG1T_Seq_41,0:00:00,00:00:00,2020-05-26 00:00:00,FALSE
249,G_ATO2,G_ATO2_Seq_16,1 day,00:00:00,2020-05-01 00:00:00,FALSE
250,CGP_IN2,CGP_IN2_Seq_0,0:00:00,00:00:00,2020-04-15 00:00:00,FALSE
251,G_ANOG3T,G_ANOG3T_Seq_10,0:00:00,00:00:00,2020-04-25 00:00:00,FALSE
252,CGP_IN1,CGP_IN1_Seq_28,0:00:00,00:00:00,2020-05-13 00:00:00,FALSE
253,CGP_IN,CGP_IN_Seq_52,0:00:00,00:00:00,2020-09-27 00:00:00,FALSE
254,G_ANOG1T,G_ANOG1T_Seq_7,0:00:00,00:00:00,2020-04-22 00:00:00,FALSE
255,G_STRS1H,G_STRS1H_Seq_19,1 day,00:00:00,2020-05-04 00:00:00,FALSE
256,G_ANOG3T,G_ANOG3T_Seq_23,0:00:00,00:00:00,2020-05-08 00:00:00,FALSE
257,CGP_IN,CGP_IN_Seq_49,0:00:00,00:00:00,2020-06-27 00:00:00,FALSE
