#;ResourceGroupID;Id;AvailableCapacity;FreeCapacity;Start;HasFiniteCapacity
87;G_ANOG1T;G_ANOG1T_Seq_40;0;00:00:00;2020-05-25 00:00:00;ËÎÆÜ
88;G_RSTD;G_RSTD_Seq_9;20:05:16.800;00:00:00;2020-04-24 00:00:00;ËÎÆÜ
89;G_ANOG3T;G_ANOG3T_Seq_50;0;00:00:00;2020-07-27 00:00:00;ËÎÆÜ
90;CGP_IN;CGP_IN_Seq_26;0;00:00:00;2020-05-11 00:00:00;ËÎÆÜ
91;G_NTAD;G_NTAD_Seq_17;23:09:18.720;00:00:00;2020-05-02 00:00:00;ÈÑÒÈÍÀ
92;CGP_IN;CGP_IN_Seq_50;0;00:00:00;2020-07-27 00:00:00;ËÎÆÜ
93;CGP_IN1;CGP_IN1_Seq_57;0;00:00:00;2021-02-27 00:00:00;ËÎÆÜ
94;G_RSTD;G_RSTD_Seq_17;20:05:16.800;00:00:00;2020-05-02 00:00:00;ËÎÆÜ
95;CGP_IN;CGP_IN_Seq_22;0;00:00:00;2020-05-07 00:00:00;ËÎÆÜ
96;G_ATO2;G_ATO2_Seq_4;1 day;00:00:00;2020-04-19 00:00:00;ËÎÆÜ
97;CGP_IN2;CGP_IN2_Seq_56;0;00:00:00;2021-01-27 00:00:00;ËÎÆÜ
98;CGP_IN2;CGP_IN2_Seq_30;0;00:00:00;2020-05-15 00:00:00;ËÎÆÜ
99;CGP_IN;CGP_IN_Seq_57;0;00:00:00;2021-02-27 00:00:00;ËÎÆÜ
100;CGP_IN1;CGP_IN1_Seq_37;0;00:00:00;2020-05-22 00:00:00;ËÎÆÜ
101;G_ANOG3T;G_ANOG3T_Seq_35;0;00:00:00;2020-05-20 00:00:00;ËÎÆÜ
102;CGP_IN;CGP_IN_Seq_45;0;00:00:00;2020-05-30 00:00:00;ËÎÆÜ
103;G_RSTD;G_RSTD_Seq_8;20:05:16.800;00:00:00;2020-04-23 00:00:00;ËÎÆÜ
104;G_RSTD;G_RSTD_Seq_25;20:05:16.800;00:00:00;2020-05-10 00:00:00;ËÎÆÜ
105;G_NTAD;G_NTAD_Seq_1;23:09:18.720;00:00:00;2020-04-16 00:00:00;ÈÑÒÈÍÀ
106;G_NTAD;G_NTAD_Seq_9;23:09:18.720;00:00:00;2020-04-24 00:00:00;ÈÑÒÈÍÀ
107;G_RSTD;G_RSTD_Seq_2;20:05:16.800;00:00:00;2020-04-17 00:00:00;ËÎÆÜ
108;CGP_IN;CGP_IN_Seq_35;0;00:00:00;2020-05-20 00:00:00;ËÎÆÜ
109;G_RSTD;G_RSTD_Seq_12;20:05:16.800;00:00:00;2020-04-27 00:00:00;ËÎÆÜ
110;G_TKT;G_TKT_Seq_17;23:43:00.480;00:00:00;2020-05-02 00:00:00;ÈÑÒÈÍÀ
111;CGP_IN2;CGP_IN2_Seq_4;0;00:00:00;2020-04-19 00:00:00;ËÎÆÜ
112;G_RSTD;G_RSTD_Seq_13;20:05:16.800;00:00:00;2020-04-28 00:00:00;ËÎÆÜ
113;CGP_IN1;CGP_IN1_Seq_7;0;00:00:00;2020-04-22 00:00:00;ËÎÆÜ
114;G_RSTD;G_RSTD_Seq_0;20:05:16.800;00:00:00;2020-04-15 00:00:00;ËÎÆÜ
115;G_RSTD;G_RSTD_Seq_21;20:05:16.800;00:00:00;2020-05-06 00:00:00;ËÎÆÜ
116;G_ANOG1T;G_ANOG1T_Seq_46;0;00:00:00;2020-06-06 00:00:00;ËÎÆÜ
117;G_ANOG3T;G_ANOG3T_Seq_45;0;00:00:00;2020-05-30 00:00:00;ËÎÆÜ
118;G_ANOG1T;G_ANOG1T_Seq_42;0;00:00:00;2020-05-27 00:00:00;ËÎÆÜ
119;G_TKT;G_TKT_Seq_21;23:43:00.480;00:00:00;2020-05-06 00:00:00;ÈÑÒÈÍÀ
120;G_TKT;G_TKT_Seq_34;23:43:00.480;00:00:00;2020-05-19 00:00:00;ÈÑÒÈÍÀ
121;G_TKT;G_TKT_Seq_18;23:43:00.480;00:00:00;2020-05-03 00:00:00;ÈÑÒÈÍÀ
122;G_ANOG3T;G_ANOG3T_Seq_42;0;00:00:00;2020-05-27 00:00:00;ËÎÆÜ
123;G_RSTD;G_RSTD_Seq_7;20:05:16.800;00:00:00;2020-04-22 00:00:00;ËÎÆÜ
124;G_ANOG1T;G_ANOG1T_Seq_14;0;00:00:00;2020-04-29 00:00:00;ËÎÆÜ
125;G_RSTD;G_RSTD_Seq_32;20:05:16.800;00:00:00;2020-05-17 00:00:00;ËÎÆÜ
126;G_ANOG1T;G_ANOG1T_Seq_0;0;00:00:00;2020-04-15 00:00:00;ËÎÆÜ
127;G_TKT;G_TKT_Seq_23;23:43:00.480;00:00:00;2020-05-08 00:00:00;ÈÑÒÈÍÀ
128;G_ANOG3T;G_ANOG3T_Seq_0;0;00:00:00;2020-04-15 00:00:00;ËÎÆÜ
129;G_RSTD;G_RSTD_Seq_14;20:05:16.800;00:00:00;2020-04-29 00:00:00;ËÎÆÜ
130;G_RSTD;G_RSTD_Seq_20;20:05:16.800;00:00:00;2020-05-05 00:00:00;ËÎÆÜ
131;G_RSTD;G_RSTD_Seq_15;20:05:16.800;00:00:00;2020-04-30 00:00:00;ËÎÆÜ
132;G_TKT;G_TKT_Seq_22;23:43:00.480;00:00:00;2020-05-07 00:00:00;ÈÑÒÈÍÀ
133;G_RTRAIN6;G_RTRAIN6_Seq_36;1 day;00:00:00;2020-05-21 00:00:00;ËÎÆÜ
134;G_RSTD;G_RSTD_Seq_22;20:05:16.800;00:00:00;2020-05-07 00:00:00;ËÎÆÜ
135;CGP_IN;CGP_IN_Seq_32;0;00:00:00;2020-05-17 00:00:00;ËÎÆÜ
136;G_TKT;G_TKT_Seq_20;23:43:00.480;00:00:00;2020-05-05 00:00:00;ÈÑÒÈÍÀ
137;G_RSTD;G_RSTD_Seq_3;20:05:16.800;00:00:00;2020-04-18 00:00:00;ËÎÆÜ
138;G_TKT;G_TKT_Seq_19;23:43:00.480;00:00:00;2020-05-04 00:00:00;ÈÑÒÈÍÀ
139;CGP_IN;CGP_IN_Seq_24;0;00:00:00;2020-05-09 00:00:00;ËÎÆÜ
140;G_RSTD;G_RSTD_Seq_6;20:05:16.800;00:00:00;2020-04-21 00:00:00;ËÎÆÜ
141;G_TKT;G_TKT_Seq_28;23:43:00.480;00:00:00;2020-05-13 00:00:00;ÈÑÒÈÍÀ
142;G_ANOG1T;G_ANOG1T_Seq_25;0;00:00:00;2020-05-10 00:00:00;ËÎÆÜ
143;G_TKT;G_TKT_Seq_43;23:43:00.480;00:00:00;2020-05-28 00:00:00;ÈÑÒÈÍÀ
144;G_ANOG1T;G_ANOG1T_Seq_38;0;00:00:00;2020-05-23 00:00:00;ËÎÆÜ
145;G_TKT;G_TKT_Seq_27;23:43:00.480;00:00:00;2020-05-12 00:00:00;ÈÑÒÈÍÀ
146;G_TKT;G_TKT_Seq_14;23:43:00.480;00:00:00;2020-04-29 00:00:00;ÈÑÒÈÍÀ
147;G_TKT;G_TKT_Seq_33;23:43:00.480;00:00:00;2020-05-18 00:00:00;ÈÑÒÈÍÀ
148;G_RSTD;G_RSTD_Seq_11;20:05:16.800;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
149;G_RSTD;G_RSTD_Seq_4;20:05:16.800;00:00:00;2020-04-19 00:00:00;ËÎÆÜ
150;G_RSTD;G_RSTD_Seq_18;20:05:16.800;00:00:00;2020-05-03 00:00:00;ËÎÆÜ
151;G_ANOG3T;G_ANOG3T_Seq_3;0;00:00:00;2020-04-18 00:00:00;ËÎÆÜ
152;G_ANOG3T;G_ANOG3T_Seq_54;0;00:00:00;2020-11-27 00:00:00;ËÎÆÜ
153;G_RSTD;G_RSTD_Seq_10;20:05:16.800;00:00:00;2020-04-25 00:00:00;ËÎÆÜ
154;G_OTGRH;G_OTGRH_Seq_19;1 day;00:00:00;2020-05-04 00:00:00;ËÎÆÜ
155;G_RSTD;G_RSTD_Seq_1;20:05:16.800;00:00:00;2020-04-16 00:00:00;ËÎÆÜ
156;CGP_IN1;CGP_IN1_Seq_30;0;00:00:00;2020-05-15 00:00:00;ËÎÆÜ
157;G_RSTD;G_RSTD_Seq_5;20:05:16.800;00:00:00;2020-04-20 00:00:00;ËÎÆÜ
158;CGP_IN1;CGP_IN1_Seq_25;0;00:00:00;2020-05-10 00:00:00;ËÎÆÜ
159;G_ATO2;G_ATO2_Seq_11;1 day;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
160;CGP_IN2;CGP_IN2_Seq_28;0;00:00:00;2020-05-13 00:00:00;ËÎÆÜ
161;G_ANOG1T;G_ANOG1T_Seq_19;0;00:00:00;2020-05-04 00:00:00;ËÎÆÜ
162;CGP_IN2;CGP_IN2_Seq_26;0;00:00:00;2020-05-11 00:00:00;ËÎÆÜ
163;G_ANOG3T;G_ANOG3T_Seq_25;0;00:00:00;2020-05-10 00:00:00;ËÎÆÜ
164;CGP_IN2;CGP_IN2_Seq_54;0;00:00:00;2020-11-27 00:00:00;ËÎÆÜ
165;G_ANOG1T;G_ANOG1T_Seq_49;0;00:00:00;2020-06-27 00:00:00;ËÎÆÜ
166;CGP_IN1;CGP_IN1_Seq_16;0;00:00:00;2020-05-01 00:00:00;ËÎÆÜ
167;G_TRUCK3;G_TRUCK3_Seq_27;1 day;00:00:00;2020-05-12 00:00:00;ËÎÆÜ
168;G_ARG2T;G_ARG2T_Seq_32;1 day;00:00:00;2020-05-17 00:00:00;ËÎÆÜ
169;G_ANOG3T;G_ANOG3T_Seq_11;0;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
170;G_VAO2;G_VAO2_Seq_8;0,8375;00:00:00;2020-04-23 00:00:00;ËÎÆÜ
171;G_NORD;G_NORD_Seq_40;0;00:00:00;2020-05-25 00:00:00;ËÎÆÜ
172;CGP_IN1;CGP_IN1_Seq_41;0;00:00:00;2020-05-26 00:00:00;ËÎÆÜ
173;G_ANOG1T;G_ANOG1T_Seq_44;0;00:00:00;2020-05-29 00:00:00;ËÎÆÜ
174;CGP_IN;CGP_IN_Seq_55;0;00:00:00;2020-12-27 00:00:00;ËÎÆÜ
175;G_TRUCK6;G_TRUCK6_Seq_11;1 day;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
176;G_ANOG1T;G_ANOG1T_Seq_35;0;00:00:00;2020-05-20 00:00:00;ËÎÆÜ
177;CGP_IN2;CGP_IN2_Seq_2;0;00:00:00;2020-04-17 00:00:00;ËÎÆÜ
178;G_VAO2;G_VAO2_Seq_11;0,8375;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
179;G_VAO2;G_VAO2_Seq_6;0,8375;00:00:00;2020-04-21 00:00:00;ËÎÆÜ
180;CGP_IN;CGP_IN_Seq_12;0;00:00:00;2020-04-27 00:00:00;ËÎÆÜ
181;CGP_IN;CGP_IN_Seq_36;0;00:00:00;2020-05-21 00:00:00;ËÎÆÜ
182;G_ANOH;G_ANOH_Seq_11;1 day;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
183;CGP_IN2;CGP_IN2_Seq_38;0;00:00:00;2020-05-23 00:00:00;ËÎÆÜ
184;G_RTRAIN6;G_RTRAIN6_Seq_16;1 day;00:00:00;2020-05-01 00:00:00;ËÎÆÜ
185;G_TRUCK3;G_TRUCK3_Seq_42;1 day;00:00:00;2020-05-27 00:00:00;ËÎÆÜ
186;CGP_IN;CGP_IN_Seq_2;0;00:00:00;2020-04-17 00:00:00;ËÎÆÜ
187;CGP_IN2;CGP_IN2_Seq_13;0;00:00:00;2020-04-28 00:00:00;ËÎÆÜ
188;CGP_IN2;CGP_IN2_Seq_3;0;00:00:00;2020-04-18 00:00:00;ËÎÆÜ
189;G_OTGRH;G_OTGRH_Seq_11;1 day;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
190;CGP_IN2;CGP_IN2_Seq_36;0;00:00:00;2020-05-21 00:00:00;ËÎÆÜ
191;CGP_IN;CGP_IN_Seq_30;0;00:00:00;2020-05-15 00:00:00;ËÎÆÜ
192;G_ANOG3T;G_ANOG3T_Seq_4;0;00:00:00;2020-04-19 00:00:00;ËÎÆÜ
193;G_ANOH;G_ANOH_Seq_15;1 day;00:00:00;2020-04-30 00:00:00;ËÎÆÜ
194;G_STRS1H;G_STRS1H_Seq_25;1 day;00:00:00;2020-05-10 00:00:00;ËÎÆÜ
195;G_VAO2;G_VAO2_Seq_13;0,8375;00:00:00;2020-04-28 00:00:00;ËÎÆÜ
196;CGP_IN2;CGP_IN2_Seq_49;0;00:00:00;2020-06-27 00:00:00;ËÎÆÜ
197;CGP_IN1;CGP_IN1_Seq_2;0;00:00:00;2020-04-17 00:00:00;ËÎÆÜ
198;G_TRUCK3;G_TRUCK3_Seq_16;1 day;00:00:00;2020-05-01 00:00:00;ËÎÆÜ
199;CGP_IN;CGP_IN_Seq_16;0;00:00:00;2020-05-01 00:00:00;ËÎÆÜ
200;CGP_IN1;CGP_IN1_Seq_39;0;00:00:00;2020-05-24 00:00:00;ËÎÆÜ
201;CGP_IN;CGP_IN_Seq_8;0;00:00:00;2020-04-23 00:00:00;ËÎÆÜ
202;G_OTGRG;G_OTGRG_Seq_12;1 day;00:00:00;2020-04-27 00:00:00;ËÎÆÜ
203;G_TRUCK3;G_TRUCK3_Seq_36;1 day;00:00:00;2020-05-21 00:00:00;ËÎÆÜ
204;G_ATO2;G_ATO2_Seq_9;1 day;00:00:00;2020-04-24 00:00:00;ËÎÆÜ
205;CGP_IN;CGP_IN_Seq_10;0;00:00:00;2020-04-25 00:00:00;ËÎÆÜ
206;G_AOAD;G_AOAD_Seq_26;1 day;00:00:00;2020-05-11 00:00:00;ËÎÆÜ
207;G_ANOG1T;G_ANOG1T_Seq_48;0;00:00:00;2020-06-20 00:00:00;ËÎÆÜ
208;CGP_IN2;CGP_IN2_Seq_52;0;00:00:00;2020-09-27 00:00:00;ËÎÆÜ
209;G_ANOG1T;G_ANOG1T_Seq_51;0;00:00:00;2020-08-27 00:00:00;ËÎÆÜ
210;CGP_IN1;CGP_IN1_Seq_46;0;00:00:00;2020-06-06 00:00:00;ËÎÆÜ
211;G_ANOG3T;G_ANOG3T_Seq_9;0;00:00:00;2020-04-24 00:00:00;ËÎÆÜ
212;CGP_IN;CGP_IN_Seq_43;0;00:00:00;2020-05-28 00:00:00;ËÎÆÜ
213;G_ANOG1T;G_ANOG1T_Seq_17;0;00:00:00;2020-05-02 00:00:00;ËÎÆÜ
214;CGP_IN1;CGP_IN1_Seq_13;0;00:00:00;2020-04-28 00:00:00;ËÎÆÜ
215;CGP_IN2;CGP_IN2_Seq_46;0;00:00:00;2020-06-06 00:00:00;ËÎÆÜ
216;G_ANOG1T;G_ANOG1T_Seq_30;0;00:00:00;2020-05-15 00:00:00;ËÎÆÜ
217;G_ARG2T;G_ARG2T_Seq_26;1 day;00:00:00;2020-05-11 00:00:00;ËÎÆÜ
218;CGP_IN2;CGP_IN2_Seq_17;0;00:00:00;2020-05-02 00:00:00;ËÎÆÜ
219;CGP_IN;CGP_IN_Seq_5;0;00:00:00;2020-04-20 00:00:00;ËÎÆÜ
220;G_ANOG2T;G_ANOG2T_Seq_19;1 day, 22:54:11.520;00:00:00;2020-05-04 00:00:00;ÈÑÒÈÍÀ
221;G_STRS1H;G_STRS1H_Seq_11;1 day;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
222;CGP_IN;CGP_IN_Seq_6;0;00:00:00;2020-04-21 00:00:00;ËÎÆÜ
223;CGP_IN2;CGP_IN2_Seq_55;0;00:00:00;2020-12-27 00:00:00;ËÎÆÜ
224;CGP_IN1;CGP_IN1_Seq_3;0;00:00:00;2020-04-18 00:00:00;ËÎÆÜ
225;CGP_IN2;CGP_IN2_Seq_7;0;00:00:00;2020-04-22 00:00:00;ËÎÆÜ
226;CGP_IN;CGP_IN_Seq_40;0;00:00:00;2020-05-25 00:00:00;ËÎÆÜ
227;G_ANOG1T;G_ANOG1T_Seq_20;0;00:00:00;2020-05-05 00:00:00;ËÎÆÜ
228;G_ANOG1T;G_ANOG1T_Seq_10;0;00:00:00;2020-04-25 00:00:00;ËÎÆÜ
229;CGP_IN;CGP_IN_Seq_3;0;00:00:00;2020-04-18 00:00:00;ËÎÆÜ
230;G_STRS1H;G_STRS1H_Seq_5;1 day;00:00:00;2020-04-20 00:00:00;ËÎÆÜ
231;G_ANOG1T;G_ANOG1T_Seq_39;0;00:00:00;2020-05-24 00:00:00;ËÎÆÜ
232;CGP_IN;CGP_IN_Seq_4;0;00:00:00;2020-04-19 00:00:00;ËÎÆÜ
233;G_OTGRH;G_OTGRH_Seq_20;1 day;00:00:00;2020-05-05 00:00:00;ËÎÆÜ
234;CGP_IN2;CGP_IN2_Seq_32;0;00:00:00;2020-05-17 00:00:00;ËÎÆÜ
235;G_ARG2T;G_ARG2T_Seq_31;1 day;00:00:00;2020-05-16 00:00:00;ËÎÆÜ
236;CGP_IN2;CGP_IN2_Seq_11;0;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
237;G_RTRAIN6;G_RTRAIN6_Seq_35;1 day;00:00:00;2020-05-20 00:00:00;ËÎÆÜ
238;G_ANOG3T;G_ANOG3T_Seq_15;0;00:00:00;2020-04-30 00:00:00;ËÎÆÜ
239;CGP_IN;CGP_IN_Seq_39;0;00:00:00;2020-05-24 00:00:00;ËÎÆÜ
240;CGP_IN1;CGP_IN1_Seq_11;0;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
