#;COLAlloc;Quantity;MinQuantity;MaxQuantity;HasSalesBudgetReservation;RequiresOrderCombination;NrOfActiveRoutingChainUpstream;SelectedShippingShop;Вид ГП;DeliveryType;ImgPlannedStatus;RoutingId;Name;ProductId;ProductName;LatestDesiredDeliveryDate;ProductSpecificationId;ResourceGroupIds
10;40372605/10;60;51;66;ИСТИНА;ЛОЖЬ;102;15;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;76C0BEF8FBC16BF6082F6CBE8B3DF121;G_OTGRH
11;40262489/14;68;61,2;74,8;ИСТИНА;ЛОЖЬ;2;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;19-апр.-2020;9E92634A255F493AF0465DB6A6ED7315;G_OTGRG
12;40362928/2;84,2;57;97,8;ИСТИНА;ЛОЖЬ;2;13;ПГТД;ЛСТ;ImgPlannedStatus3;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;19-апр.-2020;245603EE361127CDAD69D3C4E82B8646;G_OTGRH, G_VSL1
13;40373131/8;25;20;27,5;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;761C0064F87CB77F2F1B6D290ECEC1A5;G_OTGRD
14;40372639/1;40;34;44;ИСТИНА;ЛОЖЬ;2;13;ПГО;РЛН;ImgPlannedStatus3;40184372|3|02|001T;Отгрузка ЦХПП;QHF_0103400_C;Г/к оцинкованный прокат углеродистой стали;19-апр.-2020;FB5AD09EA31AB7C9AFBA6AD30BCFCD2A;G_OTGRH
15;40367857/2;8,7;0;19,13;ИСТИНА;ЛОЖЬ;4;13;ПХО;РЛН;ImgPlannedStatusUpstreamNotPlanned;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;26E7BEDAE4A8D1CFEAF948DD2EFCDEDD;G_OTGRH
16;40373467/4;68;61,2;74,8;ИСТИНА;ЛОЖЬ;32;13;ПХТД;ЛСТ;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;77DACD9F90B2E9273EE785090A8830F1;G_OTGRH
17;40373806/1;5;4;6;ИСТИНА;ЛОЖЬ;1;15;ПХИ;ЛНТ;ImgPlannedStatus2;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;19-апр.-2020;C81E39DB4DBC60E215249D2C26DD840A;G_OTGRD, G_VSL1
18;40372478/4;120;102;138;ИСТИНА;ЛОЖЬ;2;13;ПГТ;РЛН;ImgPlannedStatus3;40358864|1|02|001T;Отгрузка ЦХПП;QHF_0103200_C;Г/к травленый прокат углеродистой стали;19-апр.-2020;6618FC46B0D7270EAC6C0DBD6DA3E109;G_OTGRH
19;40371354/4;60;51;66;ИСТИНА;ЛОЖЬ;8;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;28A91877B1E3DED1E717955022E22D72;G_OTGRH
20;40372991/1;24;19,2;28,8;ИСТИНА;ЛОЖЬ;4;13;ПХО;ЛСТ;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;52C8D3BABDC44E475492C2FC48E740E5;G_OTGRH
21;40365283/1;10,9;4,93;14,93;ИСТИНА;ЛОЖЬ;48;15;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;2BB08E6A0D3D8D463AB5C6E5BA51D006;G_OTGRH
22;40357407/2;30;24;33;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus2;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;8086D608D2B4A80B125C6150697B6699;G_OTGRD
23;40374393/9;68;61,2;74,8;ИСТИНА;ЛОЖЬ;4;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;19-апр.-2020;0C4C3D422AF7B918A6A53B94A9F6835D;G_OTGRG
24;40372971/1;10;8;12;ИСТИНА;ЛОЖЬ;1;15;ПХИ;РЛН;ImgPlannedStatus2;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;19-апр.-2020;10DD76F7FCA925E408DBD4F60DC75E13;G_OTGRD, G_VSL1
25;40372620/1;3;2,4;3,6;ИСТИНА;ЛОЖЬ;1;15;ПХИ;ЛНТ;ImgPlannedStatus2;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;19-апр.-2020;C688933A9C15D5983E29F3C77AD23AB2;G_OTGRD, G_VSL1
26;40373699/1;620;496;744;ИСТИНА;ЛОЖЬ;1;7;С;-;ImgPlannedStatus3;40360493|1|01|001T;Отгрузка КЦ-2;QHF_0102100_T;Товарный сляб;19-апр.-2020;ABCEBC3AD2FC0676F5BFAF6FB2A60174;G_OTGRO2
27;40373798/1;620;496;744;ИСТИНА;ЛОЖЬ;1;7;С;-;ImgPlannedStatus3;40360493|1|01|001T;Отгрузка КЦ-2;QHF_0102100_T;Товарный сляб;19-апр.-2020;0A7614D9DF48DAE0515510EBB81D0CB8;G_OTGRO2
28;40373358/3;960;912;1008;ИСТИНА;ЛОЖЬ;8;12;ПГ;РЛН;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;19-апр.-2020;D73AA2DA98F7409A033C44D769E9CE15;G_OTGRG
29;40368419/10;272;244,8;285,6;ИСТИНА;ЛОЖЬ;2;13;ПГТД;ЛСТ;ImgPlannedStatus3;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;19-апр.-2020;4DFD9E8494579A4818FE18924DF3B356;G_OTGRH, G_VSL1
30;40365039/4;24;19,2;28,8;ИСТИНА;ЛОЖЬ;2;13;ПГО;ЛСТ;ImgPlannedStatus2;40184372|3|02|001T;Отгрузка ЦХПП;QHF_0103400_C;Г/к оцинкованный прокат углеродистой стали;19-апр.-2020;2EA35D524B0DE23C702274CDCDF6E7D0;G_OTGRH
31;40373531/4;53,3;46,53;60,13;ИСТИНА;ЛОЖЬ;8;13;ПХТД;ЛСТ;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;A5EC4014446F2BC6C2CAE1CBE249217A;G_OTGRH
32;40368523/4;24;19,2;28,8;ИСТИНА;ЛОЖЬ;2;13;ПГТД;ЛСТ;ImgPlannedStatus3;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;19-апр.-2020;BDFFD775511012DF532D3F6176FE82E9;G_OTGRH, G_VSL1
33;40372406/2;129,1;109,91;138,71;ИСТИНА;ЛОЖЬ;48;15;ПХО;РЛН;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;113779E362DF078B7C2AB0914EF8258A;G_OTGRH
34;40360848/2;4,9;0;8,9;ИСТИНА;ЛОЖЬ;4;13;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;442935668809772221498624EF467861;G_OTGRH
35;40371566/2;30;24;33;ИСТИНА;ЛОЖЬ;48;15;ПХО;РЛН;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;434DBEC6AB3747701A1907590FC50A06;G_OTGRH
36;40365611/3;2,5;0;5,52;ИСТИНА;ЛОЖЬ;16;15;ПХОПП;РЛН;ImgPlannedStatusUpstreamNotPlanned;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;48D7652A39EB76351EEEC76DB54B5493;G_OTGRD
37;40356255/4;45;38,25;49,5;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;8E140EC2F63ADAA804F15CE150E82B20;G_OTGRD
38;40368609/3;136;122,4;142,8;ИСТИНА;ЛОЖЬ;28;13;ПХТД;ЛСТ;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;999E1100E5BCACDE77818B77E1E579EB;G_OTGRH
39;40372496/6;24;19,2;28,8;ИСТИНА;ЛОЖЬ;6;13;ПХТД;ЛСТ;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;CA210591D879B670FC4282389314C1EE;G_OTGRH
40;40362489/3;20;16;24;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus2;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;B725C2651FE1CC1B2C62DF4E9CF8A179;G_OTGRD
41;40373137/11;68;61,2;74,8;ИСТИНА;ЛОЖЬ;2;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;19-апр.-2020;08F01B8CF6200D7BE9B47E7DC6281847;G_OTGRG
42;40373720/5;65;55,25;71,5;ИСТИНА;ЛОЖЬ;16;15;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;C04ACB6E2B39086304AB604ADBD61B2F;G_OTGRD
43;40364454/1;17,7;4,74;30,74;ИСТИНА;ЛОЖЬ;2;13;ПГТД;ЛНТ;ImgPlannedStatus2;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;19-апр.-2020;AF04B56B0DCBC52AFCF941654A2817E8;G_OTGRH, G_VSL1
44;40373977/2;384;364,8;403,2;ИСТИНА;ЛОЖЬ;2;12;ПГ;РЛН;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;19-апр.-2020;06CA25EE63F3AC97CFF77DFE7A9DC793;G_OTGRG
45;4500359861/10;5;4,65;5,35;ИСТИНА;ЛОЖЬ;8;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;19-апр.-2020;C892BC6968E4E3CD1F8D56FACEBA56C9;G_OTGRG
46;40374533/3;192;172,8;201,6;ИСТИНА;ЛОЖЬ;24;12;ПГ;РЛН;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;19-апр.-2020;A1FE877D56FBC06048904E7ECCF4A7A6;G_OTGRG
47;40372908/4;64;54,4;70,4;ИСТИНА;ЛОЖЬ;48;15;ПХО;РЛН;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;A8C359B08B6F46A98B9E6BB634D1320C;G_OTGRH
48;40374078/4;3;2,4;3,6;ИСТИНА;ЛОЖЬ;4;11;ПХА;ЛНТ;ImgPlannedStatusUpstreamNotPlanned;40346921|1|01|001T;Отгрузка ЦТС;QHF_0104210_YP;Прокат холод. анизотропный упаковка;26-апр.-2020;A0EB8D3705500A1E98B554F33C80F2F6;G_OTGRT
49;40373844/4;24;19,2;28,8;ИСТИНА;ЛОЖЬ;24;15;ПХО;РЛН;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;0A4797D1732264438FD79B1FD8AFE607;G_OTGRH
50;40374901/2;2000;1800;2200;ИСТИНА;ЛОЖЬ;1;7;С;-;ImgPlannedStatus3;40360493|1|01|001T;Отгрузка КЦ-2;QHF_0102100_T;Товарный сляб;19-апр.-2020;C5D330E8E1CAE039413D3AC7A0EF83E1;G_OTGRO2
51;40262489/1;34;28,9;37,4;ИСТИНА;ЛОЖЬ;8;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;19-апр.-2020;BC9283B92E4D4B57ED6257D7726513BA;G_OTGRG
52;40372550/8;25;20;27,5;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;2C3246E66D4B61B0AC99794684988F41;G_OTGRD
53;40359484/5;7,7;0;20,16;ИСТИНА;ЛОЖЬ;24;13;ПХТД;РЛН;ImgPlannedStatusUpstreamNotPlanned;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;93B752E257B5FCB5CB58387F09D3290E;G_OTGRH
54;40364714/6;64;54,4;70,4;ИСТИНА;ЛОЖЬ;4;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;56625376954C5F920B7D0FC64DE58D36;G_OTGRH
55;40371511/1;53,8;0;233,8;ИСТИНА;ЛОЖЬ;1;7;С;-;ImgPlannedStatus2;40360493|1|01|001T;Отгрузка КЦ-2;QHF_0102100_T;Товарный сляб;19-апр.-2020;431F7957F4D21DF7E706911C1B192872;G_OTGRO2
56;40368610/1;24;19,2;28,8;ИСТИНА;ЛОЖЬ;2;13;ПХТД;РЛН;ImgPlannedStatus2;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;C60B112DA4EB873FFFE164C7DC25F0E8;G_OTGRH
57;40371348/4;64;54,4;70,4;ИСТИНА;ЛОЖЬ;4;13;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;0C0B83C561B4AFC37A8D2E505AADD704;G_OTGRH
58;40373917/1;20;18;20,02;ИСТИНА;ЛОЖЬ;4;11;ПХА;РЛН;ImgPlannedStatusUpstreamNotPlanned;40346921|1|01|001T;Отгрузка ЦТС;QHF_0104210_YP;Прокат холод. анизотропный упаковка;26-апр.-2020;5C6D72479AC66C8F19817074744EACA3;G_OTGRT
59;40364104/1;0,5;0;6,52;ИСТИНА;ЛОЖЬ;1;15;ПХИ;РЛН;ImgPlannedStatusUpstreamNotPlanned;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;19-апр.-2020;A2D73D82DC02F090CDC406BEEE053805;G_OTGRD, G_VSL1
60;40371392/9;24;19,2;28,8;ИСТИНА;ЛОЖЬ;2;13;ПГТД;ЛСТ;ImgPlannedStatus3;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;19-апр.-2020;4AE7C9E466E2EC564C0850AEBE34F29D;G_OTGRH, G_VSL1
61;40368387/6;64;54,4;70,4;ИСТИНА;ЛОЖЬ;32;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;57141BB5B7890B15E3CE5A073B40590E;G_OTGRH
62;40368610/12;24;20,4;26,4;ИСТИНА;ЛОЖЬ;2;13;ПГТД;РЛН;ImgPlannedStatus3;40355763|1|02|001T;Отгрузка ЦХПП;QHF_0103300_C;Г/к травленый дрессированный прокат углеродистой стали;19-апр.-2020;810C03809856D5E080CFFD0D5D0972E7;G_OTGRH, G_VSL1
63;40371522/2;34;28,9;37,4;ИСТИНА;ЛОЖЬ;2;12;ПГ;ЛСТ;ImgPlannedStatus3;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;19-апр.-2020;6483DE9610766143E4F92C69966D0218;G_OTGRG
64;40373125/15;24;19,2;28,8;ИСТИНА;ЛОЖЬ;4;13;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;ED6F991556ED2C57F4BEF845B7BBEB7B;G_OTGRH
65;40372550/3;25;20;27,5;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;59AF9B220DBBDFFA85D050C5EC0E3AAD;G_OTGRD
66;40368384/1;26;20,8;28,6;ИСТИНА;ЛОЖЬ;12;13;ПХТД;РЛН;ImgPlannedStatus2;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;8A413D7E315CD9ECE22727F023C2FBDF;G_OTGRH
67;40373139/6;25;20;27,5;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;BE73BCEB6BD8AC6C2A7271950EAFA8C1;G_OTGRD
68;40372229/1;68;61,2;74,8;ИСТИНА;ЛОЖЬ;24;13;ПХТД;ЛСТ;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;E7C833E09FBB23258330ECAAD350B552;G_OTGRH
69;40373782/2;448;403,2;470,4;ИСТИНА;ЛОЖЬ;4;13;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;D999E71DAECE9A55883E6145BB9E4180;G_OTGRH
70;40367451/37;35,8;22,96;48,56;ИСТИНА;ЛОЖЬ;4;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;07597771D457781C16E72074404484E7;G_OTGRH
71;40374636/20;787,9;786,93;855,09;ИСТИНА;ЛОЖЬ;1;7;С;-;ImgPlannedStatus2;40360493|1|01|001T;Отгрузка КЦ-2;QHF_0102100_T;Товарный сляб;19-апр.-2020;3AE8076953DA62A5A255BD6256A9E849;G_OTGRO2
72;40368622/3;90;80,41;99,61;ИСТИНА;ЛОЖЬ;32;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;A972AD674F4715C3C00EFEA49122B4A7;G_OTGRH
73;40366273/9;24;19,2;28,8;ИСТИНА;ЛОЖЬ;2;13;ПХО;РЛН;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;1AD6062FC001617A0ECFA89ABFF45BAC;G_OTGRH
74;40368442/1;24;19,2;28,8;ИСТИНА;ЛОЖЬ;12;13;ПХТД;ЛСТ;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;98DEE552A277D4FFDB7358B0557BC34F;G_OTGRH
75;40371258/13;64;54,4;70,4;ИСТИНА;ЛОЖЬ;20;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;85B65F4054F2F869811E2CC6021A9C40;G_OTGRH
76;40368586/8;64;54,4;70,4;ИСТИНА;ЛОЖЬ;32;13;ПХТД;РЛН;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;0BA2457F003A782D8C792AA8D4203144;G_OTGRH
77;40373907/5;35;29,75;38,5;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;D790602ADF006A8B90B707AC5CE49F34;G_OTGRD
78;40365774/1;14,1;4,5;20,5;ИСТИНА;ЛОЖЬ;48;15;ПХО;РЛН;ImgPlannedStatus2;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;1136E44BA22EF180270B98F60CBA9240;G_OTGRH
79;40373834/1;620;496;744;ИСТИНА;ЛОЖЬ;1;7;С;-;ImgPlannedStatus3;40360493|1|01|001T;Отгрузка КЦ-2;QHF_0102100_T;Товарный сляб;19-апр.-2020;1C305D1443F7FD1B2DEC9F8FC94746BD;G_OTGRO2
80;40368237/3;4;3,6;4,2;ИСТИНА;ЛОЖЬ;4;11;ПХА;ЛНТ;ImgPlannedStatusUpstreamNotPlanned;40346921|1|01|001T;Отгрузка ЦТС;QHF_0104210_YP;Прокат холод. анизотропный упаковка;26-апр.-2020;5B80452D1A280A288D8609CD9535CA55;G_OTGRT
81;40373438/1;20;16;24;ИСТИНА;ЛОЖЬ;2;13;ПГО;РЛН;ImgPlannedStatus3;40184372|3|02|001T;Отгрузка ЦХПП;QHF_0103400_C;Г/к оцинкованный прокат углеродистой стали;19-апр.-2020;C68563CFAC3A51F35D3434097CF9DBFA;G_OTGRH
82;40372574/3;25;20;27,5;ИСТИНА;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatus3;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;19-апр.-2020;C6B7C050BEC7E012B0B9989CDC0867B9;G_OTGRD
83;40374883/2;128;115,2;140,8;ИСТИНА;ЛОЖЬ;4;13;ПХО;РЛН;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;5AB8CD515F8AFE5F7C10AB3FE942FA3F;G_OTGRH
84;40372420/7;7;0;19,84;ИСТИНА;ЛОЖЬ;48;15;ПХО;РЛН;ImgPlannedStatusUpstreamNotPlanned;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;1482966877FB101CF4C4FC5157988C6D;G_OTGRH
85;40375048/20;6600;6593,4;6732;ИСТИНА;ЛОЖЬ;1;7;С;-;ImgPlannedStatus2;40360493|1|01|001T;Отгрузка КЦ-2;QHF_0102100_T;Товарный сляб;19-апр.-2020;E77756DE9B274692E85850BB2B36C756;G_OTGRO2
